cota cotb p flp localx localy pT hittime PID
0.25472 11.09317 0.00818 0 13.01109 -27.26099 0.00551 0.04745 11
4.67752 35.41872 0.00818 0 -30.60584 4.93590 0.00551 0.00446 11
0.26136 16.73226 0.00818 0 21.30696 21.35279 0.00551 0.00776 11
0.88825 11.22208 0.00818 0 -27.87102 -11.53834 0.00551 -0.00220 11
2.24412 15.35273 0.00818 0 -30.16500 -2.44433 0.00551 -0.00335 11
0.70495 11.54529 0.00818 0 -25.36143 -17.59703 0.00551 0.00564 11
1.33193 9.46062 0.00818 0 -26.39503 -15.10170 0.00551 -0.00372 11
1.29855 12.60190 0.00818 0 28.99010 8.83664 0.00551 -0.00361 11
-0.00847 12.60169 0.00818 0 4.70547 30.70129 0.00551 -0.01250 11
-0.33139 14.70628 0.00818 0 1.68251 30.16500 0.00551 0.00330 11
-72.48061 17.55044 0.00818 0 22.62774 -20.03202 0.00551 0.01271 11
0.25420 27.31344 0.00818 0 -18.50962 -24.15013 0.00551 -0.00242 11
-0.83119 9.44441 0.00818 0 -12.57272 27.44257 0.00551 0.00167 11
-3.20216 29.82126 0.00148 0 -20.34928 22.33755 0.00097 0.48830 22
-0.41895 199.36929 0.00335 0 7.47151 -30.16500 0.00092 0.20084 -11
-0.14660 4.00934 0.01249 0 8.80903 -29.02794 0.00201 0.16720 11
-0.50253 25.75148 0.00784 0 -24.63284 18.02691 0.00077 1.27626 -11
0.73201 2563.71843 0.00640 0 -30.16500 -3.97100 0.00089 1.02017 11
1.13955 19.01734 0.02481 0 26.35352 15.20191 0.00793 0.19840 11
-2.91152 30.78396 0.02481 0 -22.86889 19.79087 0.00793 0.19648 11
0.09281 21.82314 0.02481 0 6.68191 29.88262 0.00793 0.20075 11
0.75361 22.08829 0.02481 0 26.05099 15.93230 0.00793 0.20032 11
0.33419 30.22938 0.02481 0 -14.77146 -26.53182 0.00793 0.19745 11
0.25218 15.49347 0.02481 0 -13.70481 -26.97364 0.00793 0.19733 11
-2.08682 18.49620 0.02481 0 -24.71501 17.94474 0.00793 0.19844 11
-0.22981 16.64742 0.02481 0 0.56651 -30.16500 0.00793 0.19633 11
-0.66338 18.47847 0.02481 0 9.15669 -28.85754 0.00793 0.19709 11
-0.48073 20.62469 0.02481 0 7.12576 -30.16500 0.00793 0.20539 11
-0.34873 18.65384 0.02481 0 10.36227 -28.35817 0.00793 0.19606 11
-6.64749 19.44464 0.02481 0 -27.88378 11.50755 0.00793 0.19614 11
-0.78094 48.23745 0.02481 0 -20.04865 22.61111 0.00793 0.19672 11
0.16049 25.49715 0.02481 0 9.74536 28.61370 0.00793 0.19842 11
0.25981 25.12421 0.02481 0 -17.38019 -25.27956 0.00793 0.20097 11
-0.28096 24.18174 0.02481 0 -9.89143 28.55319 0.00793 0.19699 11
-1.23587 23.88635 0.02481 0 22.78073 -19.87902 0.00793 0.19680 11
-47.95690 19.17491 0.02481 0 28.76211 -9.38707 0.00793 0.19645 11
-1.18206 19.11732 0.02481 0 -21.27060 21.38915 0.00793 0.19667 11
1.91001 20.14506 0.02481 0 29.32746 8.02219 0.00793 0.19899 11
9.72802 18.92050 0.02481 0 -30.16500 0.86212 0.00793 0.19622 11
-1.44347 16.65464 0.02481 0 -22.01784 20.64192 0.00793 0.19599 11
-2.75189 404.70224 0.00077 0 -23.27061 -19.37159 0.00026 0.01296 22
-0.17174 241.43238 0.00077 0 8.09719 -30.17682 0.00026 0.02789 22
0.84305 33.43920 0.00676 0 9.78801 -28.62105 0.00134 0.14188 11
-40.46428 439.73029 0.00155 0 30.14000 -1.69020 0.00094 -0.11411 22
11.78640 6.58880 0.01515 0 -20.55397 -22.10578 0.01505 0.72606 -11
0.73310 30.88433 0.01515 0 14.35859 -26.70284 0.01505 2.63649 -11
5.38271 15.73063 0.01515 0 10.45201 28.32100 0.01505 3.13465 -11
-0.42622 127.67130 0.01515 0 9.77062 -28.60324 0.01505 2.65569 -11
-2.26981 4.22546 0.01515 0 -30.16500 0.49464 0.01505 2.08708 -11
1.85183 4.67518 0.01515 0 17.22302 25.43673 0.01505 1.42630 -11
-0.47450 35.21220 0.00207 0 12.86847 27.32007 0.00197 2.98596 11
-0.44184 31.30023 0.00296 0 15.59523 26.19061 0.00256 2.77856 11
-1.26062 4.84454 0.01515 0 -25.34374 17.31602 0.01505 0.75154 -11
0.35960 5.49720 0.01515 0 6.37263 -30.16500 0.01505 0.76505 -11
1.20532 151.45502 0.00051 0 22.97494 19.68481 0.00039 0.52847 22
0.89524 276.96532 0.00057 0 -25.04881 -18.40043 0.00035 0.45376 22
-1.63701 58.79825 0.00275 0 15.00079 -26.43683 0.00275 7.76912 -11
